pmid,source,projects_for_source,source_found,source_status,reason,journal_or_container,source_primary_path,article_path,tables_path_or_glob,table_files,title,table_count,coord_table_count,supplement_cue_count,incomplete_cue_count,html_path_count,incomplete_cues,evidence_signals,evidence_snippet
15588617,ace_html,projects/decision_making/v2,True,found,missed_in_main_text,Manual,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/15588617.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/15588617.html,,,Functional activity related to risk anticipation during performance of the Iowa gambling task - ScienceDirect,1,1,0,0,1,,coord_tables:1|coord_keyword_tables:1|xyz_header_tables:1|max_triplets_in_table:1,Regions Cluster level Talairach coordinates Z value Cluster size P corrected x y z Medial frontal gyrus 229 0.032 -2 57 21 3.53
15701234,ace_html,projects/social/v3-search-all_pmids,True,found,unknown,pond,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/15701234.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/15701234.html,,,Understanding Intentions in Social Interaction: The Role of the Anterior Paracingulate Cortex | Journal of Cognitive Neuroscience | MIT Press,0,0,0,0,1,,no_coord_table_detected|no_supplement_cues_detected,Understanding Intentions in Social Interaction: The Role of the Anterior Paracingulate Cortex | Journal of Cognitive Neuroscience | MIT Press Understanding Intentions in Social Interaction: The Role of the Anterior Paracingulate Cortex | Journal of Cognitive Neuroscience | MIT Press Skip to Main Content Advertisement Close Books Books Home Browse B
16038682,ace_html,projects/vbm_of_ptsd/v1,True,found,tables_present_no_coordinate_content,manual,/home/zorro/repos/autonima-results/articles/ace_outputs/html/manual/16038682.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/manual/16038682.html,,,Size Versus Shape Differences: Contrasting Voxel-Based and Volumetric Analyses of the Anterior Cingulate Cortex in Individuals with Acute Posttraumatic Stress Disorder - ScienceDirect,1,0,0,0,1,,table_count:1|no_coord_table_detected,Size Versus Shape Differences: Contrasting Voxel-Based and Volumetric Analyses of the Anterior Cingulate Cortex in Individuals with Acute Posttraumatic Stress Disorder - ScienceDirect Size Versus Shape Differences: Contrasting Voxel-Based and Volumetric Analyses of the Anterior Cingulate Cortex in Individuals with Acute Posttraumatic Stress Disorde
16085533,ace_html,projects/cue_reactivity/v5,True,found,missed_in_main_text,Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco/16085533.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco/16085533.html,,,Instructed smoking expectancy modulates cue-elicited neural activity: A preliminary study - PMC,3,2,0,0,1,,coord_tables:2|coord_keyword_tables:2|xyz_header_tables:2|max_triplets_in_table:21,Talairach coordinates Anatomical region Broadmann's area x y z Average F ratio Cigarette>neutral L ACC/superior frontal gyrus 32 -4 43 8 15.02 R posterior cingulate gyrus 23 4 -43 29 16.36 L superior/middle temporal gyrus 21 -50 -23 -1 23.81 R superior/middle temporal gyrus 21 56 -28 -3 20.99 L inferior parietal lobule 39 -54 -68 24 12.59 L superio
16687507,ace_html,projects/cue_reactivity/v5,True,found,tables_present_no_coordinate_content,Manual,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/16687507.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/16687507.html,,,Individual Differences in Reward Drive Predict Neural Responses to Images of Food - PMC,1,0,2,0,1,,table_count:1|no_coord_table_detected,Individual Differences in Reward Drive Predict Neural Responses to Images of Food - PMC Individual Differences in Reward Drive Predict Neural Responses to Images of Food - PMC Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an offic
16778890,ace_html,projects/decision_making/v2,True,found,supplement_only_or_referenced,Nature,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Nature/16778890.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Nature/16778890.html,,,Cortical substrates for exploratory decisions in humans - PMC,0,0,2,0,1,,supplement_cue:Supplementary|supplement_cue:supplement,ts while they performed a ‘four-armed bandit’ task involving repeated choices between four slot machines ( Fig. 1 ; see Supplementary Methods ). The slots paid off points (to be exchanged for money) noisily around four different means. Unlike standard s
16971537,ace_html,projects/decision_making/v2,True,found,tables_present_no_coordinate_content,The Journal of neuroscience : the official journal of the Society for Neuroscience,/home/zorro/repos/autonima-results/articles/ace_outputs/html/The Journal of neuroscience : the official journal of the Society for Neuroscience/16971537.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/The Journal of neuroscience : the official journal of the Society for Neuroscience/16971537.html,,,Dissociable Systems for Gain- and Loss-Related Value Predictions and Errors of Prediction in the Human Brain - PMC,7,0,0,0,1,,table_count:7|no_coord_table_detected,Dissociable Systems for Gain- and Loss-Related Value Predictions and Errors of Prediction in the Human Brain - PMC Dissociable Systems for Gain- and Loss-Related Value Predictions and Errors of Prediction in the Human Brain - PMC Skip to main content An official website of the United States government Here's how you know Here's how you know Officia
17004938,ace_html,projects/vbm_of_substance_use/v2,True,found,missed_in_main_text,The European journal of neuroscience,/home/zorro/repos/autonima-results/articles/ace_outputs/html/The European journal of neuroscience/17004938.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/The European journal of neuroscience/17004938.html,,,Smoking and structural brain deficits: a volumetric MR investigation - Gallinat - 2006 - European Journal of Neuroscience - Wiley Online Library,4,2,1,0,1,,coord_tables:2|coord_keyword_tables:3|xyz_header_tables:0|max_triplets_in_table:23,Location Brodmann area Side t -value Size Cluster x tal y tal z tal Cingulate gyrus 24 R 4.16 288 6 4 32 Thalamus R 4.14 1158 16 -24 -4 Angular gyrus 39 R 4.05 1359 43 -68 30 Medial frontal gyrus 6 L 3.64 2401 0 -9 47 Cuneus 18 R 3.63 8023 12 -73 23 Inferior frontal gyrus 47 L 3.26 756 -31 16 -18 Fusiform gyrus 20 L 3.07 214 -52 -21 -21 Medial fron
17088334,ace_html,projects/vbm_of_substance_use/v2,True,found,missed_in_main_text,"Journal of neurology, neurosurgery, and psychiatry","/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of neurology, neurosurgery, and psychiatry/17088334.html","/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of neurology, neurosurgery, and psychiatry/17088334.html",,,A widespread distinct pattern of cerebral atrophy in patients with alcohol addiction revealed by voxel‐based morphometry - PMC,2,2,0,0,1,,coord_tables:2|coord_keyword_tables:2|xyz_header_tables:2|max_triplets_in_table:17,Location BA Peak coordinates (mm) Cluster size z Value p Value x y z Thalamus Right 6 -13 15 8232 6.27 <0.001 Left -7 -13 15 8232 6.27 <0.001 Dorsal hippocampus Right 32 -34 -5 8232 3.84 0.005 Left -28 -45 -4 8232 4.74 <0.001 Precentral gyrus Right 6 57 -7 34 3845 6.21 <0.001 Left 6 -57 -11 31 276 5.13 <0.001 Middle frontal gyrus Right 9 45 12 32 3
17274020,ace_html,projects/cue_reactivity/v5|projects/decision_making/v2,False,missing,,,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs/html/Human brain mapping/17274020.html,,,,,0,0,0,0,2,,html_missing,
17404215,ace_html,projects/social/v3-search-all_pmids,True,found,tables_linked_not_fetched,pond,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/17404215.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/17404215.html,,,Social concepts are represented in the superior anterior temporal cortex,0,0,1,0,1,,table_expansion_links:1|table_external_links:0|table_placeholders:10|example_link:6430/T1.expansion.html,"/32; see Fig. 1 and SI Fig. 4 ), indicating that anterior temporal lobe activation is independent of emotional valence. View this table: In this window In a new window Table 1. Social vs. animal function concepts View larger version: In this window In a n"
17923164,ace_html,projects/vbm_of_ptsd/v1,True,found,tables_present_no_coordinate_content,manual,/home/zorro/repos/autonima-results/articles/ace_outputs/html/manual/17923164.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/manual/17923164.html,,,Structure of orbitofrontal cortex and its longitudinal course in cancer-related post-traumatic stress disorder - ScienceDirect,4,0,0,0,1,,table_count:4|no_coord_table_detected,Structure of orbitofrontal cortex and its longitudinal course in cancer-related post-traumatic stress disorder - ScienceDirect Structure of orbitofrontal cortex and its longitudinal course in cancer-related post-traumatic stress disorder - ScienceDirect Skip to main content Skip to article ScienceDirect Journals & Books Help Search My account The U
17949691,ace_html,projects/decision_making/v2,True,found,missed_in_main_text,Biological psychiatry,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Biological psychiatry/17949691.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Biological psychiatry/17949691.html,,,Reduced Behavioral and Neural Activation in Stimulant Users To Different Error Rates During Decision-Making - PMC,3,1,3,0,1,,coord_tables:1|coord_keyword_tables:0|xyz_header_tables:1|max_triplets_in_table:12,Error-rate Effect Volume x y z L/R Description BA 2048 -32 -8 -1 L Caudate/Putamen 1856 38 -51 5 R Middle Temporal Gyrus 39 1280 38 -33 37 R Inferior Parietal Lobule 40 1024 40 -68 17 R Middle Temporal Gyrus 39 896 44 -48 18 R Superior Temporal Gyrus 13 896 3 34 48 R Superior Frontal Gyrus 8 832 18 8 13 R Caudate 768 -51 -18 9 L Transverse Temporal
17986835,ace_html,projects/social/v3-search-all_pmids,True,found,supplement_only_or_referenced,Neuropsychobiology,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Neuropsychobiology/17986835.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Neuropsychobiology/17986835.html,,,Cerebral Differences in Explicit and Implicit Emotional Processing – An fMRI Study | Neuropsychobiology | Karger Publishers,0,0,1,0,1,,supplement_cue:Supplementary,ttps://doi.org/10.1159/000110726 Content Tools Views Icon Views Open Menu Article contents Figures & tables Video Audio Supplementary Material Peer Review Share Icon Share Facebook X LinkedIn Email Tools Icon Tools Open Menu Cite Icon Cite Get Permissio
18045902,ace_html,projects/decision_making/v2,True,found,tables_present_no_coordinate_content,The Journal of neuroscience : the official journal of the Society for Neuroscience,/home/zorro/repos/autonima-results/articles/ace_outputs/html/The Journal of neuroscience : the official journal of the Society for Neuroscience/18045902.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/The Journal of neuroscience : the official journal of the Society for Neuroscience/18045902.html,,,EEG-Informed fMRI Reveals Spatiotemporal Characteristics of Perceptual Decision Making - PMC,1,0,1,0,1,,table_count:1|no_coord_table_detected,EEG-Informed fMRI Reveals Spatiotemporal Characteristics of Perceptual Decision Making - PMC EEG-Informed fMRI Reveals Spatiotemporal Characteristics of Perceptual Decision Making - PMC Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs t
18266213,ace_html,projects/cue_reactivity/v5,True,found,missed_in_main_text,Human brain mapping,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Human brain mapping/18266213.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Human brain mapping/18266213.html,,,Dynamic neural responses to cue‐reactivity paradigms in heroin‐dependent users: An fMRI study - PMC,6,1,3,0,1,,coord_tables:1|coord_keyword_tables:1|xyz_header_tables:0|max_triplets_in_table:44,"Brodmann area (BA) X (LR) Y (PA) Z (IS) Cluster volume (mm 3 ) Max PFI in AUC% P value Factorial interaction between the cue‐type factor and the subject‐type factor L orbitofrontal cortex BA47 -39 28 -16 535 0.51 <0.002 L orbitofrontal cortex BA47 -47 24 -4 1,089 0.23 <0.001 R orbitofrontal cortex BA47 50 20 -7 384 0.46 <0.01 R orbitofrontal cortex"
18313858,ace_html,projects/social/v3-search-all_pmids,True,found,supplement_only_or_referenced,Manual,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/18313858.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/18313858.html,,,Valuating other people’s emotional face expression: a combined functional magnetic resonance imaging and electroencephalography study - ScienceDirect,0,0,1,0,1,,supplement_cue:supplementary,he perception of emotions that reflected the seen happy and sad emotional face expressions. This area mapped to the pre-supplementary motor area which plays a central role in control of behavior. Low resolution brain electromagnetic tomography–based ana
18370602,ace_html,projects/social/v3-search-all_pmids,True,found,unknown,pond,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/18370602.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/18370602.html,,,Mirror Neuron System Differentially Activated by Facial Expressions and Social Hand Gestures: A Functional Magnetic Resonance Imaging Study | Journal of Cognitive Neuroscience | MIT Press,0,0,0,0,1,,no_coord_table_detected|no_supplement_cues_detected,Mirror Neuron System Differentially Activated by Facial Expressions and Social Hand Gestures: A Functional Magnetic Resonance Imaging Study | Journal of Cognitive Neuroscience | MIT Press Mirror Neuron System Differentially Activated by Facial Expressions and Social Hand Gestures: A Functional Magnetic Resonance Imaging Study | Journal of Cognitive
18391135,ace_html,projects/cue_reactivity/v5,True,found,missed_in_main_text,Archives of general psychiatry,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Archives of general psychiatry/18391135.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Archives of general psychiatry/18391135.html,,,EFFECT OF NALTREXONE AND ONDANSETRON ON ALCOHOL CUE-INDUCED ACTIVATION OF THE VENTRAL STRIATUM IN ALCOHOL-DEPENDENT PEOPLE - PMC,4,1,0,0,1,,coord_tables:1|coord_keyword_tables:0|xyz_header_tables:1|max_triplets_in_table:31,Alcohol-Beverage Comparison Group Side X Y Z t score Regions Naltrexone L -8 43 53 4.44 superior medial frontal R 3 -92 16 5.27 cuneus R 4 -95 12 7.83 calcarine Ondansetron R 29 -88 24 4.29 occipital R 8 -68 3 4.07 lingual Nal + Ond R 5 62 31 6.05 superior medial frontal L -1 26 31 4.37 ant-cingular L -45 -77 24 5.08 middle occipital R 34 -81 27 4.
18439411,ace_html,projects/social/v3-search-all_pmids,True,found,missed_in_main_text,pond,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/18439411.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/18439411.html,,,Know Your Place: Neural Processing of Social Hierarchy in Humans - ScienceDirect,3,3,5,0,1,,coord_tables:3|coord_keyword_tables:3|xyz_header_tables:3|max_triplets_in_table:43,"Brain Regions BA Cluster Size (voxels) Peak MNI Coordinates Peak Z Score x y z Stable Hierarchy: Experiment #1 R inferior parietal gyrus, incl. 7/40 1341 b 36, -57, 48 6.76 R inferior/middle occipital gyrus 18/19 42, -81, -6 6.16 L inferior/middle occipital gyrus 18/19 709 b -24, -96, 9 6.31 R precuneus 7 59 b 6, -57, 39 4.54 R inferior/middle fron"
18582578,ace_html,projects/decision_making/v2,True,found,missed_in_main_text,NeuroImage,/home/zorro/repos/autonima-results/articles/ace_outputs/html/NeuroImage/18582578.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/NeuroImage/18582578.html,,,Neural Correlates of Voluntary and Involuntary Risk Taking in the Human Brain: An fMRI Study of the Balloon Analog Risk Task (BART) - PMC,3,2,0,0,1,,coord_tables:2|coord_keyword_tables:2|xyz_header_tables:1|max_triplets_in_table:27,Brain Regions Peak MNI Coordinates Z Scores P Values (corrected) Cluster size X Y Z Activations covaried with voluntary risk R. Insula 38 10 -2 6.28 <0.001 16859 L. Insula -34 18 -6 6.23 <0.001 B. ACC/MFC 0 12 42 5.83 <0.001 L. Striatum -10 2 4 5.76 <0.001 R. Striatum 14 2 -2 5.18 <0.001 R. Midbrain/Thalamus 6 -16 -2 5.00 <0.001 L. Midbrain/Thalamu
18585742,ace_html,projects/social/v3-search-all_pmids,True,found,supplement_only_or_referenced,pond,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/18585742.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/18585742.html,,,The posterior superior temporal sulcus is involved in social communication not specific for the eyes - ScienceDirect,0,0,1,0,1,,supplement_cue:supplementary,"), decision-making (dorsolateral prefrontal cortex), and the control of goal-directed eye movements (frontal eye field, supplementary eye field and superior colliculus). The only region showing a different response when subjects were using eye gaze dire"
18710652,ace_html,projects/decision_making/v2,True,found,missed_in_main_text,Brain research,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Brain research/18710652.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Brain research/18710652.html,,,The neural substrates of probabilistic and intertemporal decision making - PMC,4,3,0,0,1,,coord_tables:3|coord_keyword_tables:0|xyz_header_tables:3|max_triplets_in_table:28,Region BA Size x y z Max Z Left Lingual Gyrus 17 219 -20 -90 -7 4.11 Middle Occipital Gyrus 19 56 -56 -67 -8 3.07 Sup. Par. Lobule / Precuneus 7 2872 -28 -57 47 4.80 Middle Frontal Gyrus 6 137 -28 4 52 3.89 Inferior Frontal Gyrus 9 315 -45 8 30 3.74 Middle Frontal Gyrus 46 283 -50 33 17 3.66 Midline Anterior Cingulate Cortex 9 973 -3 29 35 4.37 Rig
18801475,elsevier_output,projects/vbm_of_substance_use/v2,True,found,tables_present_no_coordinate_content,elsevier_output,/home/zorro/repos/autonima-results/articles/elsevier_output/18801475/article.xml,/home/zorro/repos/autonima-results/articles/elsevier_output/18801475/article.xml,/home/zorro/repos/autonima-results/articles/elsevier_output/18801475/tables/*.csv,/home/zorro/repos/autonima-results/articles/elsevier_output/18801475/tables/01_tbl1.csv,Medial Orbitofrontal Cortex Gray Matter Is Reduced in Abstinent Substance-Dependent Individuals,1,0,0,0,0,,table_count:1|coord_keywords:0|triplets:8|no_coord_table_detected,"<full-text-retrieval-response xmlns=""http://www.elsevier.com/xml/svapi/article/dtd"" xmlns:bk=""http://www.elsevier.com/xml/bk/dtd"" xmlns:cals=""http://www.elsevier.com/xml/common/cals/dtd"" xmlns:ce=""http://www.elsevier.com/xml/common/dtd"" xmlns:ja=""http://www.elsevier.com/xml/ja/dtd"" xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:sa=""http://www"
18804540,ace_html,projects/decision_making/v2,True,found,missed_in_main_text,NeuroImage,/home/zorro/repos/autonima-results/articles/ace_outputs/html/NeuroImage/18804540.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/NeuroImage/18804540.html,,,"Neural Substrates of Reward Magnitude, Probability, and Risk During a Wheel of Fortune Decision-Making Task - PMC",3,2,0,0,1,,coord_tables:2|coord_keyword_tables:0|xyz_header_tables:2|max_triplets_in_table:10,Region L/R BA x y z Volume Posterior Cingulate Gyrus L 23 -5 -52 25 700 Cingulate Gyrus L 24 -1 -13 44 607 Medial frontal cortex # R 10 7 54 16 378 orbitofrontal cortex Middle Temporal Gyrus L 22 -57 -52 4 1254 Insula L -28 -2 23 668 Insula R 38 -7 -5 460 Globus Pallidus # R 23 -14 -10 288 Amygdala + R 22 -5 -15 547 Substantia Nigra # L -16 -18 -7 
18842669,ace_html,projects/decision_making/v2,True,found,supplement_only_or_referenced,"Cerebral cortex (New York, N.Y. : 1991)","/home/zorro/repos/autonima-results/articles/ace_outputs/html/Cerebral cortex (New York, N.Y. : 1991)/18842669.html","/home/zorro/repos/autonima-results/articles/ace_outputs/html/Cerebral cortex (New York, N.Y. : 1991)/18842669.html",,,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex - PMC,0,0,1,0,1,,supplement_cue:Supplementary,"he present study were appropriately sensitive to changes in EV (risk rate: RA > EQEV > RD, F 2,24 = 46,97, P < 0.001) ( Supplementary Fig. 1 A ). Though previous studies have applied economic models to estimate the risk preference parameters (e.g., valu"
